"""Longitude (x)","""""Latitude (y)""""","""""Station Name""""","""""Climate ID""""","""""Date/Time""""","""""Year""""","""""Month""""","""""Day""""","""""Time""""","""""Temp (°C)""""","""""Temp Flag""""","""""Dew Point Temp (°C)""""","""""Dew Point Temp Flag""""","""""Rel Hum (%)""""","""""Rel Hum Flag""""","""""Wind Dir (10s deg)""""","""""Wind Dir Flag""""","""""Wind Spd (km/h)""""","""""Wind Spd Flag""""","""""Visibility (km)""""","""""Visibility Flag""""","""""Stn Press (kPa)""""","""""Stn Press Flag""""","""""Hmdx""""","""""Hmdx Flag""""","""""Wind Chill""""","""""Wind Chill Flag""""","""""Weather"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 06:00""""","""""2015""""","""""01""""","""""03""""","""""06:00""""","""""-1.1""""","""""""""","""""-6.0""""","""""""""","""""70""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.36""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 07:00""""","""""2015""""","""""01""""","""""03""""","""""07:00""""","""""-0.9""""","""""""""","""""-4.7""""","""""""""","""""75""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.31""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 08:00""""","""""2015""""","""""01""""","""""03""""","""""08:00""""","""""-0.8""""","""""""""","""""-4.0""""","""""""""","""""79""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.27""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 09:00""""","""""2015""""","""""01""""","""""03""""","""""09:00""""","""""-0.6""""","""""""""","""""-3.7""""","""""""""","""""79""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.26""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 10:00""""","""""2015""""","""""01""""","""""03""""","""""10:00""""","""""0.0""""","""""""""","""""-3.7""""","""""""""","""""76""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.22""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 11:00""""","""""2015""""","""""01""""","""""03""""","""""11:00""""","""""0.5""""","""""""""","""""-3.6""""","""""""""","""""74""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.12""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 12:00""""","""""2015""""","""""01""""","""""03""""","""""12:00""""","""""0.7""""","""""""""","""""-3.7""""","""""""""","""""73""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.93""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 13:00""""","""""2015""""","""""01""""","""""03""""","""""13:00""""","""""0.1""""","""""""""","""""-2.0""""","""""""""","""""86""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.77""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 14:00""""","""""2015""""","""""01""""","""""03""""","""""14:00""""","""""-0.8""""","""""""""","""""-1.1""""","""""""""","""""98""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.54""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 15:00""""","""""2015""""","""""01""""","""""03""""","""""15:00""""","""""-0.5""""","""""""""","""""-0.6""""","""""""""","""""99""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.36""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
